LONGITUDE,LATITUDE,BRIGHT_TI4,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_TI5,FRP,DAYNIGHT
13.49745,11.48034,315.9,0.38,0.36,2020-06-15,36,N,VIIRS,n,1.0NRT,294.6,1.2,N
10.6391,8.02109,310.1,0.41,0.37,2020-06-15,36,N,VIIRS,n,1.0NRT,292.9,0.7,N
7.24774,9.11783,306.5,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,293.2,1.2,N
3.04733,7.00375,301.3,0.38,0.58,2020-06-15,36,N,VIIRS,n,1.0NRT,284.5,1.3,N
6.6594,7.46914,306.6,0.44,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,290.4,0.8,N
5.86425,6.01259,329,0.47,0.48,2020-06-15,36,N,VIIRS,n,1.0NRT,287.9,2.8,N
5.86491,6.01698,307.2,0.47,0.48,2020-06-15,36,N,VIIRS,n,1.0NRT,288.3,1.1,N
11.3919,12.07498,339.2,0.51,0.49,2020-06-14,1200,N,VIIRS,n,1.0NRT,308.9,4.4,D
11.3474,12.64953,341.8,0.5,0.49,2020-06-14,1200,N,VIIRS,l,1.0NRT,312.1,5.5,D
10.39486,11.80565,336.6,0.6,0.53,2020-06-14,1200,N,VIIRS,n,1.0NRT,306.3,4.4,D
12.0595,12.13457,343.1,0.46,0.47,2020-06-14,1200,N,VIIRS,n,1.0NRT,309.5,5.2,D
13.72679,12.27054,341.3,0.54,0.42,2020-06-14,1200,N,VIIRS,l,1.0NRT,313.8,2.5,D
13.72611,12.27442,342.7,0.54,0.42,2020-06-14,1200,N,VIIRS,l,1.0NRT,313.7,2.5,D
12.97985,11.89655,347.2,0.41,0.45,2020-06-14,1200,N,VIIRS,n,1.0NRT,313.2,2.9,D
13.49311,12.15878,345,0.56,0.43,2020-06-14,1200,N,VIIRS,n,1.0NRT,312.8,11.4,D
