==============================================================================
==============================================================================
Wed. Jun. 18 2014                  LANDSAT 5                       Time: 07:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101406179892_00092                          Path / Row - 224 / 63
Reference Image: L51CUB1011210130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630576   -3.60209    -49.68556     0.02     -0.12     0.12     1 
2240630577   -3.60205    -49.65747    -0.00     -0.04     0.04     1 
2240630579   -3.60197    -49.60130    -0.02     -0.03     0.03     1 
2240630580   -3.60192    -49.57322     0.04     -0.06     0.07     1 
2240630614   -3.62797    -50.72491     0.04      0.06     0.07     1 
2240630615   -3.62796    -50.69681    -0.28     -0.31     0.41     1 
2240630620   -3.62791    -50.55634    -0.20      0.04     0.21     1 
2240630621   -3.62789    -50.52825    -0.09      0.23     0.25     1 
2240630622   -3.62788    -50.50016    -0.38     -0.17     0.42     1 
2240630623   -3.62786    -50.47206    -0.13     -0.15     0.20     1 
2240630631   -3.62770    -50.24732    -0.06      0.20     0.21     1 
2240630632   -3.62768    -50.21923    -0.12      0.19     0.22     1 
2240630635   -3.62760    -50.13495    -0.05      0.11     0.12     1 
2240630637   -3.62754    -50.07877    -0.10      0.03     0.10     1 
2240630638   -3.62751    -50.05068     0.01      0.22     0.22     1 
2240630639   -3.62749    -50.02259    -0.02      0.14     0.15     1 
2240630640   -3.62745    -49.99450     0.13     -0.19     0.23     1 
2240630641   -3.62742    -49.96641    -0.08      0.18     0.20     1 
2240630643   -3.62736    -49.91023     0.07      0.24     0.25     1 
2240630645   -3.62729    -49.85405     0.04      0.08     0.09     1 
2240630646   -3.62725    -49.82596    -0.23      0.13     0.26     1 
2240630647   -3.62721    -49.79787    -0.07      0.09     0.11     1 
2240630648   -3.62718    -49.76979    -0.09      0.09     0.13     1 
2240630649   -3.62714    -49.74170    -0.00      0.10     0.10     1 
2240630650   -3.62710    -49.71361    -0.09     -0.02     0.09     1 
2240630651   -3.62706    -49.68552    -0.01      0.04     0.04     1 
2240630654   -3.62693    -49.60126     0.17      0.06     0.18     1 
2240630656   -3.62684    -49.54509     0.08      0.14     0.16     1 
2240630661   -3.62660    -49.40467     0.11     -0.16     0.20     1 
2240630662   -3.62655    -49.37659    -0.04      0.09     0.10     1 
2240630689   -3.65294    -50.72490     0.09     -0.24     0.25     1 
2240630691   -3.65292    -50.66871    -0.22     -0.32     0.39     1 
2240630692   -3.65291    -50.64062    -0.16     -0.32     0.35     1 
2240630694   -3.65289    -50.58443     0.05     -0.06     0.08     1 
2240630695   -3.65287    -50.55633    -0.12     -0.00     0.12     1 
2240630696   -3.65286    -50.52824    -0.11     -0.17     0.20     1 
2240630698   -3.65283    -50.47205    -0.05      0.02     0.06     1 
2240630700   -3.65279    -50.41586    -0.20      0.05     0.21     1 
2240630701   -3.65278    -50.38777    -0.19      0.04     0.20     1 
2240630702   -3.65275    -50.35967    -0.11      0.12     0.16     1 
2240630703   -3.65273    -50.33158    -0.28      0.01     0.28     1 
2240630705   -3.65269    -50.27539    -0.19      0.07     0.20     1 
2240630706   -3.65267    -50.24730    -0.12      0.10     0.15     1 
2240630707   -3.65264    -50.21921    -0.21     -0.05     0.22     1 
2240630709   -3.65259    -50.16302     0.02      0.00     0.02     1 
2240630711   -3.65254    -50.10684    -0.09      0.15     0.17     1 
2240630713   -3.65248    -50.05065    -0.08      0.23     0.24     1 
2240630714   -3.65245    -50.02256    -0.11      0.19     0.22     1 
2240630715   -3.65242    -49.99447    -0.13      0.15     0.20     1 
2240630722   -3.65218    -49.79784    -0.15      0.07     0.16     1 
2240630726   -3.65202    -49.68549    -0.24     -0.12     0.27     1 
2240630729   -3.65189    -49.60123     0.11     -0.35     0.37     1 
2240630730   -3.65185    -49.57314     0.04      0.09     0.10     1 
2240630732   -3.65176    -49.51697    -0.16      0.29     0.33     1 
2240630734   -3.65166    -49.46080     0.01      0.11     0.11     1 
2240630736   -3.65156    -49.40463     0.13     -0.07     0.15     1 
2240630737   -3.65151    -49.37654     0.01      0.04     0.04     1 
2240630738   -3.65146    -49.34846    -0.06     -0.01     0.06     1 
2240630739   -3.65141    -49.32037    -0.34      0.16     0.37     1 
2240630740   -3.65136    -49.29229     0.07      0.06     0.09     1 
2240630741   -3.65130    -49.26421    -0.13     -0.11     0.17     1 
2240630762   -3.67793    -50.78108    -0.06     -0.25     0.25     1 
2240630766   -3.67789    -50.66870     0.11      0.05     0.12     1 
2240630773   -3.67780    -50.47203    -0.17     -0.04     0.18     1 
2240630777   -3.67772    -50.35966    -0.04      0.13     0.14     1 
2240630778   -3.67770    -50.33156    -0.13      0.04     0.14     1 
2240630779   -3.67768    -50.30347    -0.08      0.11     0.14     1 
2240630781   -3.67763    -50.24728    -0.12      0.12     0.17     1 
2240630782   -3.67761    -50.21919    -0.12      0.24     0.27     1 
2240630786   -3.67751    -50.10681    -0.29      0.16     0.33     1 
2240630787   -3.67748    -50.07872     0.15     -0.14     0.21     1 
2240630788   -3.67745    -50.05063    -0.03      0.13     0.13     1 
2240630789   -3.67742    -50.02254    -0.19      0.04     0.20     1 
2240630790   -3.67739    -49.99444    -0.04      0.18     0.19     1 
2240630791   -3.67735    -49.96635    -0.03     -0.03     0.04     1 
2240630794   -3.67725    -49.88208     0.37      0.09     0.38     1 
2240630799   -3.67706    -49.74163    -0.08      0.29     0.30     1 
