Wed. Jun. 18, 2014             LANDSAT 5                 Time: 02:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12050383            Path/Row: 224 / 063

L0R Reference Image: L51CUB1011210130101_HDF.141690354
Acquisition Date: Jul 29, 2011

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
224   063   2001-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240630101   -4.811185  -49.565876    77.772      -0.810     3.444    -1.297     3.291
2240630102   -4.172219  -49.893583   109.903       5.108    -1.925     5.329    -1.170
2240630103   -4.583978  -49.797795   130.137       2.707     0.524     2.602     0.907
2240630104   -4.113833  -49.530751    82.022      -1.347     0.109    -1.348    -0.086
2240630105   -3.838261  -50.598119    91.871       2.776     1.648     2.508     2.029
2240630106   -4.237580  -50.072426    78.741       1.060    -0.675     1.145    -0.515
2240630107   -4.673304  -49.415547    44.000       3.990     5.432     3.166     5.948
2240630108   -4.034652  -49.554941    54.913       0.509     2.957     0.078     2.998
2240630109   -4.459860  -50.862268   327.466       2.988     1.908     2.679     2.316
2240630110   -4.511133  -49.446182    44.000      -1.255    -1.873    -0.972    -2.033
2240630111   -4.174330  -50.055203    94.442      -3.424    -5.864    -2.545    -6.292
2240630112   -4.671539  -49.356065    53.181       5.819     1.042     5.607     1.868
2240630113   -4.784195  -49.505352   128.591      -5.383     2.004    -5.613     1.209
2240630114   -4.212206  -49.964340    86.211       0.785     2.420     0.428     2.507
2240630116   -4.511080  -49.421311    47.800       0.627    -0.248     0.656    -0.155
2240630117   -4.249345  -49.937532    90.227      -4.326     2.774    -4.677     2.122
2240630120   -4.149528  -50.546341    85.225      -2.595    -4.578    -1.910    -4.900
2240630121   -3.826549  -49.725748    44.000       2.587     4.653     1.890     4.975
2240630125   -4.550095  -49.397707    44.000       2.902    -4.199     3.475    -3.737
2240630126   -3.846104  -50.544346   142.546       0.295     6.837    -0.690     6.803
2240630127   -4.642498  -49.350725    49.004       4.690    -1.576     4.866    -0.885
2240630130   -4.580765  -49.403857    47.778      -5.439    -1.565    -5.156    -2.330
2240630131   -4.707323  -49.463062    67.801      -3.805    -2.535    -3.399    -3.055
2240630132   -4.788733  -49.737669   152.955      -5.903    -2.595    -5.465    -3.414
2240630133   -3.838823  -50.641891    59.767      -4.622    -6.948    -3.573    -7.536
2240630134   -4.220258  -49.722974    45.000       5.435     2.179     5.063     2.937
2240630135   -4.629962  -49.445115    58.308       0.808     4.736     0.119     4.802
2240630136   -4.355516  -49.370560    73.904      -0.022    -5.685     0.796    -5.628
2240630137   -3.813827  -49.746567    44.568      -2.155     4.910    -2.837     4.548
2240630138   -4.859143  -49.415662    55.958      -4.093     3.842    -4.602     3.213
2240630140   -4.873612  -50.553737   153.633       3.722     3.224     3.217     3.723
2240630142   -4.481872  -49.600064    45.937      -1.252     0.191    -1.266     0.009
2240630143   -4.079401  -49.702934    49.685       4.153    -0.103     4.123     0.495
2240630144   -4.328734  -50.301295   130.014      -6.870    -0.707    -6.693    -1.686
2240630145   -3.599108  -49.685294     3.900      -0.351    -4.374     0.280    -4.378
2240630147   -4.588616  -49.521990    64.222      -5.732    -3.775    -5.128    -4.558
2240630148   -4.342990  -49.956596   126.961      -3.365    -4.933    -2.620    -5.362
2240630150   -4.201935  -49.995707   117.796      -2.097     0.021    -2.077    -0.280
2240630151   -4.442467  -50.325795   114.373      -4.433    -0.081    -4.372    -0.717
2240630152   -4.456006  -50.685149   179.076       6.840     3.411     6.273     4.356
2240630153   -3.806590  -49.808978    59.199       0.985     4.955     0.263     5.043
2240630155   -3.858855  -49.736776    61.160       0.212    -1.293     0.396    -1.248
2240630156   -4.839459  -49.593135   109.030      -3.661    -2.136    -3.314    -2.639
2240630157   -3.793045  -49.196957    79.108      -3.847    -5.020    -3.085    -5.519
2240630158   -3.909376  -49.771282    66.006      -0.404    -2.318    -0.067    -2.351
2240630160   -4.295115  -49.874757    49.928       0.995    -1.285     1.169    -1.127
2240630162   -3.884799  -49.853176    48.108      -2.167     1.509    -2.360     1.181
2240630163   -4.570287  -49.581509    98.619       0.414    -2.138     0.716    -2.055
2240630164   -4.453730  -50.192482   150.820      -0.326     4.023    -0.900     3.932
2240630165   -4.163243  -50.088189   106.761      -1.525    -0.791    -1.395    -1.001
2240630167   -3.941891  -49.740164    48.725       1.137    -0.626     1.215    -0.456
2240630168   -4.566060  -49.379558    46.836      -3.554    -0.840    -3.396    -1.342
2240630169   -4.376372  -49.780022    54.081      -0.945     1.700    -1.179     1.546
2240630170   -4.244777  -49.478350    57.881       2.088     0.237     2.031     0.535
2240630171   -4.426579  -50.179803   135.235      -1.826     1.284    -1.991     1.007
2240630172   -4.559602  -49.530160    48.645       2.980    -1.878     3.218    -1.429
2240630173   -4.067822  -50.182615   100.802      -2.953    -3.527    -2.414    -3.913
2240630174   -3.835829  -50.621628    80.024      -4.259     0.704    -4.314     0.085
2240630175   -4.675159  -49.396074    44.406       2.525     1.809     2.237     2.154
2240630176   -3.771783  -49.756082    50.648       1.635    -4.455     2.257    -4.172
2240630177   -4.102257  -49.928812    76.415       4.434     1.840     4.122     2.457
2240630178   -4.469480  -49.379772    91.058       6.887     3.284     6.341     4.239
2240630179   -4.734564  -49.645815    72.967       0.081     3.489    -0.422     3.463
2240630180   -3.988596  -49.762519    86.154       1.405    -6.461     2.318    -6.189
2240630181   -3.770337  -49.374165    17.003      -0.133    -0.009    -0.130    -0.028
2240630182   -3.775541  -49.400623    30.992      -5.501    -0.527    -5.367    -1.311
2240630183   -3.807841  -49.562623    46.786       1.386     0.136     1.352     0.334
2240630184   -3.621752  -49.423041    49.081      -0.433    -2.313    -0.097    -2.350
2240630185   -4.276222  -50.166180   111.912       0.504    -6.935     1.494    -6.786
2240630186   -4.820085  -49.419539    49.436       4.502    -3.675     4.982    -2.988
2240630187   -4.420169  -50.656773   120.167       4.639    -6.679     5.546    -5.937
2240630191   -4.287994  -49.385027    44.000       2.034     0.700     1.912     0.985
2240630192   -3.759702  -49.850101    62.485       1.014    -0.868     1.128    -0.712
2240630193   -4.101088  -49.690739    46.856       2.891     6.600     1.911     6.944
2240630195   -4.078261  -50.318544    68.797      -1.771     3.049    -2.190     2.762
2240630196   -4.725525  -49.474380    49.160      -4.598    -5.422    -3.769    -6.025
2240630197   -4.558349  -50.327311   128.731      -4.673     6.808    -5.600     6.061
2240630198   -4.980825  -49.730817   148.800      -6.169    -5.078    -5.371    -5.910
2240630200   -4.612482  -49.392971    44.000       1.051     2.404     0.694     2.530
2240630201   -4.365090  -49.407026    57.771       0.053    -1.193     0.224    -1.172
2240630202   -3.772467  -49.502721    47.971      -2.306     4.664    -2.952     4.284
2240630203   -4.697054  -49.481743    57.479       4.298    -1.665     4.491    -1.029
2240630204   -4.013709  -49.685206    61.259       1.007     2.450     0.645     2.569
2240630205   -4.061752  -49.537601    52.242      -0.858    -1.380    -0.650    -1.488
2240630207   -4.042316  -49.758655    51.887      -0.359    -2.893     0.060    -2.913
2240630208   -3.592582  -50.477756    29.966      -0.044    -0.221    -0.012    -0.225
2240630209   -4.427259  -49.426626    54.044       1.390     0.445     1.311     0.640
2240630210   -4.451791  -50.442057   103.079       2.852    -2.508     3.181    -2.070
2240630212   -4.569590  -49.642075    69.013       1.410    -2.579     1.766    -2.349
2240630214   -4.430599  -49.928627    53.874      -0.320    -0.868    -0.192    -0.904
2240630215   -4.883549  -49.411277    44.000      -4.337     5.551    -5.089     4.869
2240630216   -4.905330  -49.697416    89.937       0.182     1.211     0.006     1.224
2240630217   -4.173338  -50.136018   133.770       3.215     0.201     3.151     0.661
2240630218   -4.298130  -49.895567    51.128       1.626    -6.664     2.567    -6.358
2240630219   -4.060299  -49.808347    75.439       2.296    -2.188     2.586    -1.834
2240630220   -3.762054  -49.603484    32.818       3.455    -6.166     4.304    -5.604
2240630224   -3.991769  -49.547181    46.373      -0.900     3.488    -1.392     3.322
2240630229   -4.161636  -49.714962    50.945       2.404     4.391     1.747     4.690
2240630230   -3.621752  -49.586959    24.504       1.050    -4.617     1.702    -4.417
2240630231   -5.017122  -49.699632    80.489       0.437    -5.774     1.263    -5.648
2240630232   -3.943911  -50.302172    88.636       3.079    -5.157     3.785    -4.658
2240630233   -4.099165  -49.851798    95.198      -3.154    -3.210    -2.659    -3.628
