Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
1680,14757,19,9,17,15,28,159,19,9,17,15,0,216
240,10915,18,9,17,14,14,405,18,9,17,14,10,219
600,9950,15,9,17,15,51,219,15,9,17,15,41,432
360,12902,18,9,17,9,21,405,18,9,17,9,15,133
600,6289,14,9,17,18,8,219,14,9,17,17,58,133
600,14896,14,9,17,11,26,133,14,9,17,11,16,219
540,14293,17,9,17,13,12,219,17,9,17,13,3,133
780,10511,18,9,17,10,40,109,18,9,17,10,27,68
600,12109,18,9,17,7,55,133,18,9,17,7,45,219
540,6790,16,9,17,8,3,133,16,9,17,7,54,219
240,8442,19,9,17,14,44,405,19,9,17,14,40,219
540,14004,16,9,17,12,35,781,16,9,17,12,26,219
480,8253,17,9,17,12,18,133,17,9,17,12,10,219
660,5256,16,9,17,10,24,219,16,9,17,10,13,277
540,1943,18,9,17,7,13,219,18,9,17,7,4,266
540,9207,15,9,17,9,30,219,15,9,17,9,21,133
600,6790,16,9,17,7,3,219,16,9,17,6,53,350
420,9504,14,9,17,15,33,366,14,9,17,15,26,124
1080,12886,15,9,17,18,20,165,15,9,17,18,2,44
660,6737,15,9,17,16,29,348,15,9,17,16,18,290
2760,10929,16,9,17,13,50,553,16,9,17,13,4,480
660,12179,17,9,17,11,9,300,17,9,17,10,58,265
180,8227,18,9,17,5,56,121,18,9,17,5,53,265
240,7886,16,9,17,8,53,121,16,9,17,8,49,265
240,2768,14,9,17,19,7,43,14,9,17,19,3,265
300,3550,14,9,17,17,26,265,14,9,17,17,21,121
240,3162,14,9,17,7,31,121,14,9,17,7,27,265
180,9869,15,9,17,6,13,121,15,9,17,6,10,265
180,2175,13,9,17,5,59,121,13,9,17,5,56,265
720,12179,17,9,17,12,12,99,17,9,17,12,0,300
240,6080,19,9,17,7,32,121,19,9,17,7,28,265
720,9092,18,9,17,9,0,224,18,9,17,8,48,169
1020,449,16,9,17,18,23,397,16,9,17,18,6,141
1020,12505,16,9,17,16,10,141,16,9,17,15,53,397
480,1617,16,9,17,21,8,469,16,9,17,21,0,448
420,1617,16,9,17,19,52,448,16,9,17,19,45,469
1140,11745,14,9,17,8,49,400,14,9,17,8,30,225
1380,5499,15,9,17,0,17,103,14,9,17,23,54,596
1140,4601,14,9,17,12,17,732,14,9,17,11,58,196
